"year","type","y"
2006,"module",3311.89710610932
2007,"module",3135.04823151125
2008,"module",3006.4308681672
2009,"module",1929.26045016077
2010,"module",1655.94855305466
2011,"module",1077.17041800643
2012,"module",739.549839228295
2013,"module",691.318327974276
2014,"module",627.00964630225
2015,"module",627.00964630225
2016,"module",610.932475884244
2017,"module",530.546623794211
2018,"module",498.392282958198
2006,"bos_inverter",1382.63665594856
2007,"bos_inverter",1125.40192926045
2008,"bos_inverter",1061.09324758843
2009,"bos_inverter",1077.17041800643
2010,"bos_inverter",948.553054662379
2011,"bos_inverter",900.32154340836
2012,"bos_inverter",707.395498392283
2013,"bos_inverter",707.395498392283
2014,"bos_inverter",659.163987138264
2015,"bos_inverter",643.086816720257
2016,"bos_inverter",643.086816720257
2017,"bos_inverter",610.932475884244
2018,"bos_inverter",643.086816720258
