"year","type","y"
2006,"module",3294.79768786127
2007,"module",3121.38728323699
2008,"module",3005.78034682081
2009,"module",1921.96531791907
2010,"module",1647.39884393064
2011,"module",1054.91329479769
2012,"module",736.994219653179
2013,"module",679.190751445087
2014,"module",635.838150289017
2015,"module",621.387283236994
2016,"module",606.936416184971
2017,"module",520.231213872833
2018,"module",447.976878612717
2019,"module",404.624277456647
2006,"bos_inverter",1387.28323699422
2007,"bos_inverter",1127.1676300578
2008,"bos_inverter",1069.36416184971
2009,"bos_inverter",1083.81502890173
2010,"bos_inverter",953.757225433527
2011,"bos_inverter",910.404624277457
2012,"bos_inverter",693.64161849711
2013,"bos_inverter",736.99421965318
2014,"bos_inverter",679.190751445087
2015,"bos_inverter",650.289017341041
2016,"bos_inverter",664.739884393064
2017,"bos_inverter",621.387283236994
2018,"bos_inverter",635.838150289017
2019,"bos_inverter",650.28901734104
