year,annCapKw_nation,cumCapKw_world,annCapKw_world,annCapKw_other,price_si,costPerKw,q,q_i,p,median_p,lambda,label,country,date
2006,0,6083000,0,0,170.7762985,4507.889478255928,6.083,6083000,1,0.1,0,"λ = 0, p = 10%",U.S.,2006-07-01
2007,9800,8642000,2559000,2549200,331.1436197,4525.27368653285,8.642,6092800,0.7050219856514696,0.1,0,"λ = 0, p = 10%",U.S.,2007-07-01
2008,22300,14580000,5938000,5915700,394.5925319,4046.666079654587,14.58,6115100,0.4194170096021948,0.1,0,"λ = 0, p = 10%",U.S.,2008-07-01
2009,65800,22432000,7852000,7786200,128.2697107,2724.0707288380413,22.432,6180900,0.2755394079885877,0.1,0,"λ = 0, p = 10%",U.S.,2009-07-01
2010,266500,38793000,16361000,16094500,59.89196204,2027.55775845127,38.793,6447400,0.16620008764467817,0.1,0,"λ = 0, p = 10%",U.S.,2010-07-01
2011,785600,73745000,34952000,34166400,65.17702399,1392.7082628123167,73.745,7233000,0.09808122584582006,0.1,0,"λ = 0, p = 10%",U.S.,2011-07-01
2012,1803100,104015000,30270000,28466900,24.80937396,913.3154094340083,104.015,9036100,0.0868730471566601,0.1,0,"λ = 0, p = 10%",U.S.,2012-07-01
2013,2857500,139523000,35508000,32650500,15.15264945,878.440764377114,139.523,11893600,0.08524472667588856,0.1,0,"λ = 0, p = 10%",U.S.,2013-07-01
2014,3922000,176089000,36566000,32644000,19.8,832.4027849465667,176.089,15815600,0.08981594534581944,0.1,0,"λ = 0, p = 10%",U.S.,2014-07-01
2015,4268000,222213000,46124000,41856000,17.89856631,831.4159140361679,222.213,20083600,0.09037995076795687,0.1,0,"λ = 0, p = 10%",U.S.,2015-07-01
2016,10750800,296155000,73942000,63191200,14.31784946,642.109586308206,296.155,30834400,0.10411575019837585,0.1,0,"λ = 0, p = 10%",U.S.,2016-07-01
2017,6475600,389411000,93256000,86780400,14.08,600.0040396650443,389.411,37310000,0.09581136639694307,0.1,0,"λ = 0, p = 10%",U.S.,2017-07-01
2018,6118800,488739000,99328000,93209200,15.4,535.9543779838729,488.739,43428800,0.08885887968834082,0.1,0,"λ = 0, p = 10%",U.S.,2018-07-01
2019,8462200,587134000,98395000,89932800,15.4,399.12093872332593,587.134,51891000,0.08838016534555995,0.1,0,"λ = 0, p = 10%",U.S.,2019-07-01
2020,14260600,713970000,126836000,112575400,15.4,380.81884289925705,713.97,66151600,0.09265319271117835,0.1,0,"λ = 0, p = 10%",U.S.,2020-07-01
2006,0,6083000,0,0,170.7762985,4507.889478255928,6.083,6083000,1,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2006-07-01
2007,9800,8642000,2559000,2549200,331.1436197,4525.27368653285,8.13216,6092800,0.7492228387046,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2007-07-01
2008,22300,14580000,5938000,5915700,394.5925319,4046.666079654587,12.88702,6115100,0.4745162186448069,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2008-07-01
2009,65800,22432000,7852000,7786200,128.2697107,2724.0707288380413,19.18178,6180900,0.32222765561903016,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2009-07-01
2010,266500,38793000,16361000,16094500,59.89196204,2027.55775845127,32.32388,6447400,0.19946244077134304,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2010-07-01
2011,785600,73745000,34952000,34166400,65.17702399,1392.7082628123167,60.4426,7233000,0.11966725455225288,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2011-07-01
2012,1803100,104015000,30270000,28466900,24.80937396,913.3154094340083,85.01922,9036100,0.10628302635568758,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2012-07-01
2013,2857500,139523000,35508000,32650500,15.15264945,878.440764377114,113.99712,11893600,0.10433246032882235,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2013-07-01
2014,3922000,176089000,36566000,32644000,19.8,832.4027849465667,144.03432,15815600,0.10980438551034226,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2014-07-01
2015,4268000,222213000,46124000,41856000,17.89856631,831.4159140361679,181.78712,20083600,0.11047867417669635,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2015-07-01
2016,10750800,296155000,73942000,63191200,14.31784946,642.109586308206,243.09088,30834400,0.12684309670523222,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2016-07-01
2017,6475600,389411000,93256000,86780400,14.08,600.0040396650443,318.9908,37310000,0.11696262086555474,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2017-07-01
2018,6118800,488739000,99328000,93209200,15.4,535.9543779838729,399.67696,43428800,0.10865975361702111,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2018-07-01
2019,8462200,587134000,98395000,89932800,15.4,399.12093872332593,480.0854,51891000,0.10808701951777747,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2019-07-01
2020,14260600,713970000,126836000,112575400,15.4,380.81884289925705,584.40632,66151600,0.1131945321878107,0.12,0.2,"λ = 0.2, p = 12%",U.S.,2020-07-01
2006,0,6083000,0,0,170.7762985,4507.889478255928,6.083,6083000,1,0.15,0.4,"λ = 0.4, p = 15%",U.S.,2006-07-01
2007,9800,8642000,2559000,2549200,331.1436197,4525.27368653285,7.62232,6092800,0.7993366848938381,0.15,0.4,"λ = 0.4, p = 15%",U.S.,2007-07-01
2008,22300,14580000,5938000,5915700,394.5925319,4046.666079654587,11.19404,6115100,0.5462817713711939,0.15,0.4,"λ = 0.4, p = 15%",U.S.,2008-07-01
2009,65800,22432000,7852000,7786200,128.2697107,2724.0707288380413,15.93156,6180900,0.38796577359655926,0.15,0.4,"λ = 0.4, p = 15%",U.S.,2009-07-01
2010,266500,38793000,16361000,16094500,59.89196204,2027.55775845127,25.85476,6447400,0.24936994193719067,0.15,0.4,"λ = 0.4, p = 15%",U.S.,2010-07-01
2011,785600,73745000,34952000,34166400,65.17702399,1392.7082628123167,47.1402,7233000,0.15343592093372535,0.15,0.4,"λ = 0.4, p = 15%",U.S.,2011-07-01
2012,1803100,104015000,30270000,28466900,24.80937396,913.3154094340083,66.02344,9036100,0.13686199931418297,0.15,0.4,"λ = 0.4, p = 15%",U.S.,2012-07-01
