year,price_si
1980,171.205891
1981,153.7889979
1982,138.1439373
1983,124.0904596
1984,111.4666517
1985,100.1270726
1986,89.94107661
1987,80.79130902
1988,72.57235357
1989,65.18951812
1990,58.5577436
1991,52.60062406
1992,47.24952639
1993,42.44279956
1994,38.12506437
1995,34.24657534
1996,34.24657534
1997,34.24657534
1998,34.24657534
1999,34.24657534
2000,34.24657534
2001,34.24657534
2002,38.01023805
2003,41.77390076
2004,56.1725788
2005,95.60403063
2006,170.7762985
2007,331.1436197
2008,394.5925319
2009,128.2697107
2010,59.89196204
2011,65.17702399
2012,24.80937396
2013,15.15264945
2014,19.8
2015,17.89856631
2016,14.31784946
2017,14.08
2018,15.4
2019,15.4
2020,15.4
