year,cumCapKw,cost_per_kw,cost_per_kw_lb,cost_per_kw_ub,learning,country,scenario
2020-01-01,713970000,424.0209149864825,384.36643002769824,466.8977494606871,Global,U.S.,National Trends
2021-01-01,795871594.4549509,404.1967117996578,363.63923471702077,448.4787092432113,Global,U.S.,National Trends
2022-01-01,887168361.2200315,385.29934740333215,343.7801229561758,431.19473035888257,Global,U.S.,National Trends
2023-01-01,988938048.0890965,367.28548940550644,325.08719770972573,414.3596757570209,Global,U.S.,National Trends
2024-01-01,1102382034.469006,350.11383132873567,307.0232893367314,398.33801752947574,Global,U.S.,National Trends
2025-01-01,1228839513.5248547,333.74499789277223,290.10234623962606,382.83586059839416,Global,U.S.,National Trends
2026-01-01,1369803301.200712,318.1414547255119,274.39356140175863,367.9050256891939,Global,U.S.,National Trends
2027-01-01,1526937458.7395353,303.267422295221,259.178856639207,353.86367387471375,Global,U.S.,National Trends
2028-01-01,1702096936.7340713,289.0887938666754,244.83206999746812,340.4454672730614,Global,U.S.,National Trends
2029-01-01,1897349472.6044974,275.5730572930921,231.0681480848918,327.3408661062573,Global,U.S.,National Trends
2030-01-01,2115000000.0000021,262.68922046450786,218.17448000734896,314.9571269667455,Global,U.S.,National Trends
2020-01-01,713970000,424.0209149864825,384.36643002769824,466.8977494606871,National,U.S.,National Trends
2021-01-01,788819562.1363341,405.7859699351467,365.2845497445572,450.00290566391,National,U.S.,National Trends
2022-01-01,864411386.6566211,389.73925951503924,348.5119718020767,435.2916542621764,National,U.S.,National Trends
2023-01-01,939950005.3009921,375.6056212679749,333.82840326740524,422.15091391665544,National,U.S.,National Trends
2024-01-01,1014450097.5902832,363.1839399865968,320.72268401953505,410.59965000092546,National,U.S.,National Trends
2025-01-01,1086703705.439879,352.3320409794884,309.3250598878754,400.33654067636087,National,U.S.,National Trends
2026-01-01,1155242462.4530735,342.9578726474809,299.66947426688284,391.5565293712664,National,U.S.,National Trends
